County ,Quarter,Year,Count,Median Price
Queen Anne's,Q3,2019,116,350000
St. Mary's,Q3,2019,289,280000
Somerset,Q3,2019,23,129000
Talbot,Q3,2019,76,314500
Washington,Q3,2019,287,224900
Wicomico,Q3,2019,146,177750
Worcester,Q3,2019,104,242500
Allegany,Q4,2019,87,120000
Anne Arundel,Q4,2019,2695,377500
Baltimore City,Q4,2019,1124,210000
Baltimore,Q4,2019,2603,265000
Calvert,Q4,2019,359,353194
Caroline,Q4,2019,81,225000
Carroll,Q4,2019,632,347700
Cecil,Q4,2019,326,250500
Charles,Q4,2019,749,333875
Dorchester,Q4,2019,83,173900
Frederick,Q4,2019,1396,353500
Garrett,Q4,2019,40,152000
Harford,Q4,2019,1090,290000
Howard,Q4,2019,1327,450000
Kent,Q4,2019,36,242500
Montgomery,Q4,2019,3498,485000
Prince George's,Q4,2019,2501,339000
Queen Anne's,Q4,2019,199,372500
St. Mary's,Q4,2019,460,295000
Somerset,Q4,2019,37,135000
Talbot,Q4,2019,127,349000
Washington,Q4,2019,450,233750
Wicomico,Q4,2019,203,205000
Worcester,Q4,2019,104,246500
Allegany,Q1,2020,57,115000
Anne Arundel,Q1,2020,2485,369900
Baltimore City,Q1,2020,1017,217500
Baltimore,Q1,2020,2344,275000
Calvert,Q1,2020,403,340000
Caroline,Q1,2020,92,220000
Carroll,Q1,2020,660,350000
Cecil,Q1,2020,347,248700
Charles,Q1,2020,823,335000
Dorchester,Q1,2020,71,186000
Frederick,Q1,2020,1341,349900
Garrett,Q1,2020,57,150000
Harford,Q1,2020,1135,300000
Howard,Q1,2020,1300,459495
Kent,Q1,2020,37,234000
Montgomery,Q1,2020,3171,475000
Prince George's,Q1,2020,2426,350000
Queen Anne's,Q1,2020,212,348950
St. Mary's,Q1,2020,478,303975
Somerset,Q1,2020,36,161375
Talbot,Q1,2020,105,369900
Washington,Q1,2020,444,231000
